,week,tm_name,opp_name,tm_location,tm_score,opp_score
0,1,Bills,Rams,A,31,10
1,1,Saints,Falcons,A,27,26
2,1,Browns,Panthers,A,26,24
3,1,Bears,49ers,H,19,10
4,1,Steelers,Bengals,A,23,20
5,1,Texans,Colts,H,20,20
6,1,Eagles,Lions,A,38,35
7,1,Football Team,Jaguars,H,28,22
8,1,Dolphins,Patriots,H,20,7
9,1,Ravens,Jets,A,24,9
10,1,Chiefs,Cardinals,A,44,21
11,1,Vikings,Packers,H,23,7
12,1,Giants,Titans,A,21,20
13,1,Chargers,Raiders,H,24,19
14,1,Buccaneers,Cowboys,A,19,3
15,1,Seahawks,Broncos,H,17,16
16,2,Chiefs,Chargers,H,27,24
17,2,Giants,Panthers,H,19,16
18,2,Jets,Browns,A,31,30
19,2,Jaguars,Colts,H,24,0
20,2,Lions,Football Team,H,36,27
21,2,Dolphins,Ravens,A,42,38
22,2,Buccaneers,Saints,A,20,10
23,2,Patriots,Steelers,A,17,14
24,2,Rams,Falcons,H,31,27
25,2,49ers,Seahawks,H,27,7
26,2,Cowboys,Bengals,H,20,17
27,2,Cardinals,Raiders,A,29,23
28,2,Broncos,Texans,H,16,9
29,2,Packers,Bears,H,27,10
30,2,Bills,Titans,H,41,7
31,2,Eagles,Vikings,H,24,7
32,3,Browns,Steelers,H,29,17
33,3,Dolphins,Bills,H,21,19
34,3,Panthers,Saints,H,22,14
35,3,Bears,Texans,H,23,20
36,3,Bengals,Jets,A,27,12
37,3,Colts,Chiefs,H,20,17
38,3,Vikings,Lions,H,28,24
39,3,Ravens,Patriots,A,37,26
40,3,Titans,Raiders,H,24,22
41,3,Eagles,Football Team,A,24,8
42,3,Jaguars,Chargers,A,38,10
43,3,Falcons,Seahawks,A,27,23
44,3,Rams,Cardinals,A,20,12
45,3,Packers,Buccaneers,A,14,12
46,3,Broncos,49ers,H,11,10
47,3,Cowboys,Giants,A,23,16
48,4,Bengals,Dolphins,H,27,15
49,4,Vikings,Saints,A,28,25
50,4,Falcons,Browns,H,23,20
51,4,Bills,Ravens,A,23,20
52,4,Giants,Bears,H,20,12
53,4,Titans,Colts,A,24,17
54,4,Cowboys,Football Team,H,25,10
55,4,Seahawks,Lions,A,48,45
56,4,Chargers,Texans,A,34,24
57,4,Eagles,Jaguars,H,29,21
58,4,Jets,Steelers,A,24,20
59,4,Cardinals,Panthers,A,26,16
60,4,Raiders,Broncos,H,32,23
61,4,Packers,Patriots,H,27,24
62,4,Chiefs,Buccaneers,A,41,31
63,4,49ers,Rams,H,24,9
64,5,Colts,Broncos,A,12,9
65,5,Giants,Packers,A,27,22
66,5,Buccaneers,Falcons,H,21,15
67,5,Bills,Steelers,H,38,3
68,5,Vikings,Bears,H,29,22
69,5,Chargers,Browns,A,30,28
70,5,Patriots,Lions,H,29,0
71,5,Texans,Jaguars,A,13,6
72,5,Jets,Dolphins,H,40,17
73,5,Saints,Seahawks,H,39,32
74,5,Titans,Football Team,A,21,17
75,5,49ers,Panthers,A,37,15
76,5,Eagles,Cardinals,A,20,17
77,5,Cowboys,Rams,A,22,10
78,5,Ravens,Bengals,H,19,17
79,5,Chiefs,Raiders,H,30,29
80,6,Football Team,Bears,A,12,7
81,6,Falcons,49ers,H,28,14
82,6,Bengals,Saints,A,30,26
83,6,Patriots,Browns,A,38,15
84,6,Colts,Jaguars,H,34,27
85,6,Jets,Packers,A,27,10
86,6,Vikings,Dolphins,A,24,16
87,6,Giants,Ravens,H,24,20
88,6,Steelers,Buccaneers,H,20,18
89,6,Rams,Panthers,H,24,10
90,6,Seahawks,Cardinals,H,19,9
91,6,Bills,Chiefs,A,24,20
92,6,Eagles,Cowboys,H,26,17
93,6,Chargers,Broncos,H,19,16
94,7,Cardinals,Saints,H,42,34
95,7,Bengals,Falcons,H,35,17
96,7,Panthers,Buccaneers,H,21,3
97,7,Ravens,Browns,H,23,20
98,7,Titans,Colts,H,19,10
99,7,Cowboys,Lions,H,24,6
100,7,Football Team,Packers,H,23,21
101,7,Giants,Jaguars,A,23,17
102,7,Raiders,Texans,H,38,20
103,7,Jets,Broncos,A,16,9
104,7,Chiefs,49ers,A,44,23
105,7,Seahawks,Chargers,A,37,23
106,7,Dolphins,Steelers,H,16,10
107,7,Bears,Patriots,A,33,14
108,8,Ravens,Buccaneers,A,27,22
109,8,Broncos,Jaguars,A,21,17
110,8,Dolphins,Lions,A,31,27
111,8,Eagles,Steelers,H,35,13
112,8,Falcons,Panthers,H,37,34
113,8,Cowboys,Bears,H,49,29
114,8,Vikings,Cardinals,H,34,26
115,8,Saints,Raiders,H,24,0
116,8,Patriots,Jets,A,22,17
117,8,Titans,Texans,A,17,10
